INDICADOR;RESULTADO
2;2.43
1;3.28
5;3.24
3;2.95
3;3.71
3;3.48
3;3.71
4;3.14
2;1.62
4;2.34
5;3.24
3;3.48
3;3.48
2;2.43
4;3.14
2;2.91
4;2.34
1;2.95
1;2.95
2;1.62
2;2.43
3;3.48
2;2.91
3;2.95
2;2.43
4;2.34
3;3.71
4;3.14
1;2.95
1;3.28
2;2.91
2;1.62
3;3.48
2;2.43
2;3.33
3;2.95
5;3.24
2;1.62
4;2.34
4;3.14
2;1.62
2;3.33
1;3.28
5;3.24
3;3.71
4;3.14
4;2.34
1;2.95
4;3.14
2;1.62
2;2.91
3;3.48
1;2.95
2;2.43
4;2.34
1;3.28
3;3.71
3;2.95
3;3.71
2;2.43
2;2.91
5;3.24
4;3.14
3;2.95
2;1.62
1;3.28
1;2.95
4;2.34
5;3.24
2;3.33
2;3.33
1;2.95
3;3.48
3;2.95
3;3.71
3;3.48
2;2.91
3;2.95
2;2.91
2;2.91
4;2.34
3;3.48
5;3.24
2;3.33
1;3.28
2;2.43
3;2.95
3;3.71
3;2.95
2;2.43
2;1.62
1;3.28
1;3.28
3;3.71
2;3.33
3;3.48
1;2.95
3;3.48
2;2.91
4;3.14
2;2.43
1;2.95
4;3.14
1;2.95
1;2.95
2;1.62
3;3.48
4;2.34
5;3.24
2;1.62
4;3.14
2;2.91
2;3.33
3;3.71
5;3.24
4;3.14
2;1.62
2;3.33
4;2.34
3;2.95
1;3.28
3;3.71
2;2.43
5;3.24
3;3.48
2;2.91
3;2.95
2;2.91
3;3.71
3;2.95
2;2.43
3;3.48
1;2.95
3;3.48
4;3.14
1;2.95
2;2.91
2;2.91
2;2.43
3;2.95
1;3.28
3;2.95
3;3.71
2;2.43
5;3.24
1;3.28
3;3.71
2;3.33
2;2.43
3;2.95
3;3.71
2;2.91
5;3.24
4;2.34
2;3.33
2;2.43
2;1.62
4;3.14
1;3.28
3;3.71
3;2.95
2;3.33
4;2.34
4;2.34
5;3.24
1;3.28
1;2.95
1;2.95
2;2.91
2;2.91
4;3.14
2;1.62
3;3.48
3;3.48
2;2.43
3;2.95
1;3.28
1;3.28
2;3.33
3;3.71
1;3.28
1;2.95
1;3.28
4;2.34
2;3.33
3;3.71
3;2.95
2;3.33
3;2.95
5;3.24
2;2.43
2;2.43
2;1.62
2;3.33
4;3.14
5;3.24
2;1.62
2;1.62
4;2.34
5;3.24
4;3.14
2;3.33
5;3.24
1;3.28
2;3.33
5;3.24
3;3.71
4;2.34
3;3.48
2;2.91
2;2.43
3;2.95
4;3.14
1;2.95
3;3.48
1;2.95
3;3.71
2;1.62
1;3.28
4;3.14
4;2.34
2;3.33
2;2.91
3;2.95
2;1.62
2;2.43
3;2.95
5;3.24
4;2.34
4;3.14
1;2.95
3;3.48
1;2.95
2;3.33
5;3.24
1;3.28
4;3.14
2;1.62
3;3.48
3;3.71
2;2.91
4;2.34
5;3.24
2;2.43
4;2.34
4;3.14
2;1.62
1;2.95
3;3.48
2;2.91
3;3.48
1;2.95
2;2.91
4;2.34
2;2.43
2;2.91
2;3.33
5;3.24
3;3.71
2;1.62
1;2.95
2;1.62
4;3.14
3;2.95
2;2.43
4;2.34
3;2.95
3;3.71
1;3.28
4;3.14
3;3.48
1;3.28
2;3.33
3;2.95
3;2.95
4;2.34
3;3.71
1;3.28
4;2.34
2;1.62
5;3.24
2;1.62
2;3.33
1;3.28
1;3.28
3;3.71
2;2.91
2;2.43
2;3.33
3;3.48
2;2.43
3;3.71
4;3.14
3;2.95
5;3.24
5;3.24
2;1.62
1;3.28
3;3.48
4;3.14
5;3.24
4;2.34
4;3.14
2;1.62
1;2.95
4;2.34
5;3.24
2;3.33
1;2.95
2;2.43
2;2.91
2;3.33
1;2.95
3;3.48
4;3.14
3;3.48
1;2.95
2;2.91
2;2.43
2;1.62
4;3.14
4;2.34
5;3.24
2;2.43
1;3.28
2;2.91
3;3.71
5;3.24
3;3.71
3;2.95
2;3.33
3;2.95
1;2.95
5;3.24
2;2.43
5;3.24
1;2.95
4;3.14
3;2.95
4;3.14
1;2.95
1;3.28
4;2.34
3;3.71
5;3.24
2;3.33
2;3.33
2;1.62
4;3.14
4;2.34
1;2.95
2;2.43
1;3.28
4;3.14
2;2.91
2;1.62
3;3.48
2;3.33
1;3.28
2;2.91
2;1.62
2;3.33
3;2.95
1;3.28
5;3.24
3;3.48
3;3.71
2;3.33
5;3.24
2;2.91
2;3.33
5;3.24
2;2.43
1;2.95
3;3.71
1;3.28
2;2.91
3;3.48
2;2.43
3;2.95
2;3.33
3;3.71
1;3.28
1;3.28
2;3.33
4;3.14
3;2.95
2;2.43
4;3.14
4;2.34
3;2.95
2;2.91
1;2.95
3;3.71
2;2.43
3;2.95
2;2.91
1;3.28
2;2.43
4;2.34
2;1.62
4;2.34
2;1.62
1;2.95
3;3.71
3;3.48
5;3.24
3;2.95
1;3.28
5;3.24
4;2.34
2;1.62
4;3.14
1;2.95
2;2.91
1;2.95
3;3.48
3;3.48
3;3.71
3;2.95
2;2.91
2;2.43
1;2.95
4;3.14
2;1.62
3;3.48
3;3.71
2;2.91
3;3.48
4;2.34
4;2.34
2;1.62
3;3.48
2;3.33
4;2.34
4;3.14
5;3.24
2;1.62
5;3.24
4;2.34
5;3.24
4;2.34
5;3.24
2;3.33
4;2.34
3;2.95
2;1.62
3;3.48
2;2.91
1;2.95
2;2.43
2;3.33
3;3.48
2;1.62
1;2.95
1;3.28
3;3.71
2;1.62
2;3.33
4;2.34
5;3.24
4;3.14
3;3.48
3;3.71
4;3.14
1;3.28
2;2.43
1;2.95
4;2.34
3;2.95
2;1.62
3;2.95
2;3.33
1;3.28
1;2.95
4;3.14
1;3.28
1;3.28
2;3.33
1;3.28
2;2.43
3;3.71
2;2.91
2;1.62
1;3.28
3;3.48
2;3.33
1;2.95
1;3.28
3;3.71
2;3.33
5;3.24
2;2.91
3;2.95
2;2.91
2;2.43
3;3.71
3;2.95
4;2.34
3;3.71
2;1.62
3;3.48
2;2.43
2;2.91
2;2.43
3;3.71
3;2.95
4;3.14
1;2.95
4;3.14
5;3.24
3;3.48
2;2.91
4;2.34
2;1.62
1;2.95
1;3.28
4;3.14
3;2.95
1;2.95
3;3.48
2;3.33
1;3.28
3;3.48
2;2.43
3;3.71
2;2.91
3;2.95
2;2.91
2;2.43
3;3.71
1;2.95
4;3.14
3;3.48
2;2.43
2;2.91
3;3.48
4;3.14
2;2.43
4;2.34
2;1.62
2;2.91
2;2.43
3;3.48
4;2.34
4;2.34
2;1.62
5;3.24
4;3.14
5;3.24
5;3.24
1;2.95
1;2.95
3;3.71
3;2.95
2;2.91
2;3.33
3;2.95
3;3.71
3;3.71
1;3.28
2;2.91
3;2.95
2;2.43
4;2.34
1;2.95
5;3.24
4;3.14
2;2.91
2;3.33
2;1.62
3;3.48
2;2.43
4;2.34
1;3.28
4;2.34
4;3.14
2;2.43
3;2.95
3;2.95
4;3.14
3;3.71
1;2.95
4;3.14
4;2.34
3;3.71
2;3.33
5;3.24
2;2.43
1;3.28
3;3.71
5;3.24
3;2.95
3;2.95
2;3.33
2;2.91
2;2.91
3;3.48
4;3.14
2;3.33
2;2.91
1;3.28
4;3.14
2;3.33
2;1.62
2;3.33
2;2.91
2;2.43
4;2.34
4;3.14
3;3.48
4;3.14
2;1.62
3;2.95
2;1.62
1;2.95
4;2.34
1;3.28
1;3.28
3;3.48
1;2.95
3;3.48
2;2.91
4;3.14
3;3.48
1;2.95
1;2.95
4;2.34
2;1.62
3;3.48
4;2.34
2;1.62
4;3.14
2;3.33
1;2.95
5;3.24
1;3.28
5;3.24
2;3.33
4;2.34
2;1.62
2;1.62
2;3.33
5;3.24
3;3.71
5;3.24
3;3.71
3;2.95
5;3.24
5;3.24
1;3.28
2;3.33
3;2.95
3;3.71
1;3.28
3;3.48
3;2.95
2;1.62
1;3.28
4;2.34
5;3.24
2;2.91
2;2.43
2;1.62
5;3.24
2;2.43
1;3.28
3;3.71
4;2.34
2;2.43
1;2.95
2;2.43
2;2.91
3;2.95
3;3.71
3;3.48
2;2.43
2;3.33
3;2.95
1;2.95
2;2.43
4;3.14
2;2.91
2;1.62
3;3.48
2;2.43
2;1.62
1;3.28
1;2.95
4;3.14
3;3.48
2;3.33
1;3.28
3;3.71
3;2.95
4;2.34
4;2.34
3;3.71
1;2.95
2;2.91
3;3.48
4;3.14
3;3.71
1;3.28
5;3.24
1;2.95
2;2.91
3;3.48
4;2.34
2;2.43
2;3.33
3;2.95
5;3.24
2;3.33
4;2.34
2;1.62
3;2.95
1;2.95
2;2.91
2;3.33
3;3.71
2;1.62
1;3.28
3;3.48
1;3.28
5;3.24
2;3.33
4;2.34
5;3.24
2;1.62
1;3.28
3;3.71
2;3.33
4;3.14
1;2.95
2;1.62
4;3.14
3;2.95
2;1.62
3;3.71
3;3.48
5;3.24
1;2.95
2;2.43
2;2.91
1;3.28
4;2.34
5;3.24
2;3.33
4;3.14
2;1.62
2;2.43
2;2.91
3;3.48
3;2.95
4;2.34
2;2.43
3;3.71
3;2.95
3;2.95
2;2.91
2;1.62
4;3.14
3;3.71
5;3.24
2;1.62
4;2.34
2;2.43
2;2.91
3;3.48
1;2.95
4;3.14
3;2.95
3;3.71
1;2.95
3;3.48
3;2.95
2;2.43
2;2.91
3;3.48
1;2.95
4;3.14
1;3.28
2;2.43
2;2.91
2;2.91
5;3.24
4;3.14
2;3.33
4;2.34
5;3.24
3;3.71
3;2.95
2;1.62
3;3.48
3;2.95
1;3.28
3;2.95
3;3.71
2;3.33
2;2.43
3;3.71
4;2.34
2;1.62
4;3.14
1;3.28
2;1.62
1;3.28
3;3.48
2;2.43
3;3.71
1;2.95
5;3.24
2;3.33
1;3.28
4;3.14
2;3.33
2;2.91
4;2.34
5;3.24
1;2.95
2;2.91
3;3.48
1;3.28
2;3.33
4;2.34
2;2.43
2;2.91
1;2.95
2;3.33
5;3.24
1;3.28
2;3.33
3;2.95
3;3.48
4;3.14
4;2.34
1;3.28
3;3.48
3;2.95
2;2.91
2;2.43
3;3.71
5;3.24
4;3.14
2;1.62
2;1.62
2;2.43
3;3.71
3;2.95
2;1.62
4;2.34
3;3.71
4;3.14
1;3.28
5;3.24
1;2.95
4;2.34
3;3.71
1;2.95
1;2.95
2;3.33
4;2.34
5;3.24
2;1.62
3;3.48
2;2.43
2;2.91
5;3.24
4;3.14
2;3.33
1;3.28
3;2.95
3;3.71
2;2.91
3;2.95
1;3.28
2;3.33
3;3.71
3;2.95
2;2.43
3;3.71
2;1.62
2;1.62
3;3.48
1;3.28
2;2.91
4;3.14
3;3.48
1;2.95
4;3.14
2;2.43
4;2.34
5;3.24
2;3.33
4;2.34
3;3.48
1;2.95
2;1.62
3;3.48
2;3.33
2;2.43
3;2.95
4;2.34
2;2.91
5;3.24
3;2.95
1;3.28
4;3.14
4;3.14
3;3.48
2;1.62
4;2.34
2;2.91
1;2.95
3;3.71
1;2.95
4;3.14
2;1.62
1;2.95
2;2.91
2;3.33
2;1.62
3;3.48
2;2.91
1;2.95
5;3.24
2;2.43
2;2.43
4;3.14
4;2.34
1;3.28
3;2.95
2;1.62
1;2.95
5;3.24
3;3.71
2;3.33
1;3.28
3;2.95
3;3.71
2;3.33
2;2.43
5;3.24
4;2.34
1;3.28
3;3.48
1;2.95
2;1.62
1;2.95
2;2.91
4;3.14
4;3.14
3;3.48
3;2.95
2;2.43
1;3.28
3;3.48
2;2.91
2;1.62
5;3.24
4;2.34
3;3.71
2;1.62
3;2.95
2;2.43
2;2.91
4;2.34
4;2.34
2;2.43
2;3.33
1;2.95
4;3.14
2;2.91
3;2.95
2;2.91
1;3.28
2;2.43
3;3.71
3;3.48
2;2.43
5;3.24
4;3.14
3;3.71
2;1.62
2;3.33
3;3.48
5;3.24
1;3.28
2;3.33
3;3.71
1;3.28
1;2.95
3;3.48
3;3.71
3;3.48
2;2.43
2;2.91
3;2.95
1;2.95
4;3.14
4;2.34
2;2.91
2;3.33
1;2.95
4;3.14
3;3.71
1;3.28
3;2.95
2;1.62
5;3.24
1;3.28
2;3.33
4;2.34
2;3.33
1;3.28
3;3.71
2;2.43
2;1.62
2;2.91
4;3.14
1;2.95
3;3.48
3;2.95
5;3.24
5;3.24
4;2.34
4;3.14
2;1.62
1;3.28
2;2.91
1;2.95
1;2.95
3;3.71
4;2.34
4;3.14
2;3.33
4;2.34
2;1.62
5;3.24
2;1.62
2;2.91
5;3.24
3;2.95
3;3.48
2;2.43
2;2.43
4;3.14
3;3.48
1;2.95
3;2.95
3;3.71
3;3.48
1;3.28
2;2.91
2;2.43
1;2.95
3;3.48
2;3.33
2;1.62
3;3.48
4;2.34
1;2.95
5;3.24
4;3.14
3;3.48
1;3.28
2;2.91
4;2.34
2;2.43
2;3.33
4;3.14
1;2.95
2;1.62
5;3.24
4;3.14
1;2.95
2;1.62
3;3.48
1;2.95
3;3.71
4;3.14
2;2.43
2;1.62
4;3.14
1;3.28
2;2.91
3;2.95
2;3.33
2;2.43
1;3.28
2;2.91
2;2.91
3;3.71
5;3.24
2;2.43
3;3.48
2;3.33
2;2.43
5;3.24
1;3.28
3;2.95
3;3.71
3;3.71
1;3.28
5;3.24
3;2.95
1;2.95
1;2.95
2;3.33
3;3.48
3;3.48
1;3.28
3;3.71
2;3.33
1;3.28
2;3.33
5;3.24
4;2.34
5;3.24
1;3.28
4;2.34
3;2.95
3;3.71
2;2.91
2;2.91
3;3.48
5;3.24
3;3.71
2;3.33
1;3.28
2;2.43
3;2.95
3;3.71
2;2.43
4;2.34
2;3.33
3;3.71
3;2.95
3;2.95
3;3.48
2;1.62
3;3.48
1;2.95
4;3.14
4;2.34
5;3.24
3;2.95
2;2.91
4;2.34
5;3.24
2;1.62
3;2.95
4;2.34
2;3.33
2;1.62
2;1.62
4;3.14
3;2.95
2;2.43
3;3.71
2;2.91
2;3.33
5;3.24
4;2.34
3;3.48
2;1.62
1;2.95
4;3.14
3;2.95
3;3.71
1;3.28
1;2.95
1;3.28
2;2.43
4;3.14
2;2.43
3;2.95
2;2.91
2;1.62
3;3.71
2;3.33
3;3.71
4;2.34
5;3.24
5;3.24
3;2.95
2;2.43
1;3.28
2;3.33
1;3.28
4;2.34
2;2.43
2;2.91
2;1.62
1;2.95
4;3.14
1;2.95
4;3.14
3;3.48
3;3.71
3;2.95
2;2.91
4;2.34
3;2.95
2;2.43
2;1.62
3;3.71
3;3.48
4;2.34
1;3.28
5;3.24
5;3.24
2;3.33
2;1.62
3;2.95
2;2.43
2;3.33
1;3.28
2;2.91
1;3.28
4;2.34
5;3.24
4;2.34
4;3.14
2;3.33
3;3.71
2;3.33
4;3.14
4;3.14
2;1.62
2;1.62
4;3.14
3;3.48
1;2.95
1;2.95
3;3.48
4;3.14
2;2.43
3;2.95
2;3.33
1;2.95
4;2.34
2;2.43
2;2.91
5;3.24
3;3.71
1;2.95
3;3.71
3;2.95
3;2.95
3;3.48
2;2.91
1;2.95
1;3.28
2;2.43
3;3.71
4;2.34
2;1.62
2;2.91
1;3.28
2;2.91
2;2.43
3;3.48
2;3.33
2;3.33
2;1.62
1;3.28
4;2.34
5;3.24
1;3.28
3;3.48
2;2.43
3;3.71
5;3.24
4;2.34
5;3.24
3;2.95
2;3.33
1;3.28
3;3.71
1;3.28
5;3.24
3;3.48
1;2.95
3;3.48
4;3.14
4;2.34
3;2.95
1;2.95
1;2.95
5;3.24
4;3.14
2;2.91
2;2.43
3;3.48
2;3.33
3;2.95
2;2.91
1;2.95
4;3.14
1;3.28
2;2.91
2;2.91
2;2.43
4;3.14
1;2.95
2;1.62
2;3.33
5;3.24
3;2.95
5;3.24
3;3.71
2;3.33
2;2.43
3;3.48
2;1.62
2;1.62
4;3.14
2;1.62
2;1.62
4;2.34
2;2.43
2;2.91
4;3.14
4;2.34
2;3.33
2;2.91
2;1.62
3;3.48
3;2.95
4;2.34
3;3.71
2;2.91
1;3.28
3;3.71
5;3.24
3;3.71
1;3.28
3;3.48
3;2.95
2;3.33
2;2.43
1;2.95
2;2.43
1;3.28
2;2.91
3;3.71
2;1.62
4;2.34
4;2.34
5;3.24
5;3.24
1;3.28
4;2.34
5;3.24
2;2.91
2;1.62
4;2.34
2;3.33
2;1.62
1;3.28
4;2.34
3;3.71
5;3.24
2;3.33
3;3.71
2;1.62
4;3.14
4;3.14
2;1.62
3;3.48
4;2.34
1;2.95
5;3.24
4;3.14
2;2.91
3;2.95
2;2.43
2;1.62
4;2.34
3;3.71
1;2.95
2;3.33
2;2.43
3;3.71
3;2.95
2;2.43
1;2.95
2;2.91
2;2.43
2;2.43
4;3.14
1;2.95
2;2.91
3;3.48
1;2.95
3;3.48
2;2.91
4;3.14
3;3.48
3;2.95
2;2.43
3;2.95
1;3.28
2;3.33
3;2.95
2;3.33
1;3.28
2;2.43
2;2.91
2;2.43
1;2.95
3;3.48
1;3.28
4;2.34
5;3.24
5;3.24
2;2.91
3;3.48
3;3.48
1;2.95
2;1.62
4;3.14
1;2.95
2;2.91
2;1.62
4;3.14
4;2.34
3;3.71
3;2.95
3;3.48
1;2.95
4;2.34
4;3.14
3;3.71
3;2.95
2;2.43
3;2.95
1;3.28
2;2.43
2;1.62
1;2.95
4;3.14
3;3.71
2;3.33
1;3.28
3;3.48
2;2.91
5;3.24
5;3.24
2;3.33
2;1.62
3;3.48
2;3.33
4;3.14
3;2.95
2;2.43
1;3.28
3;3.71
2;3.33
2;2.91
4;3.14
1;2.95
3;2.95
3;3.48
2;2.91
3;2.95
3;2.95
2;2.43
2;2.91
3;3.71
3;2.95
2;2.43
3;2.95
3;3.71
5;3.24
5;3.24
1;3.28
1;3.28
4;3.14
2;1.62
2;3.33
4;2.34
2;3.33
1;2.95
4;3.14
1;2.95
3;3.48
4;2.34
2;1.62
2;2.91
2;2.43
3;2.95
2;2.91
3;3.48
4;2.34
3;3.71
2;1.62
2;1.62
4;3.14
4;2.34
5;3.24
1;3.28
4;2.34
1;2.95
2;2.43
1;3.28
3;3.71
5;3.24
4;3.14
2;2.91
3;3.71
1;2.95
2;3.33
2;1.62
3;3.48
3;2.95
4;3.14
2;3.33
2;3.33
1;3.28
2;3.33
3;3.48
4;2.34
4;3.14
2;1.62
3;2.95
4;3.14
3;3.48
2;1.62
1;2.95
2;3.33
1;2.95
1;3.28
4;3.14
2;1.62
3;2.95
2;3.33
1;2.95
5;3.24
3;3.48
2;2.43
1;2.95
2;2.43
1;3.28
2;2.91
3;3.71
3;3.48
3;2.95
2;3.33
3;3.71
2;2.43
2;2.43
3;2.95
2;3.33
4;2.34
5;3.24
1;3.28
4;2.34
1;2.95
3;3.48
5;3.24
4;3.14
2;2.91
2;3.33
2;1.62
3;3.48
2;2.91
1;2.95
4;2.34
4;3.14
2;2.43
2;1.62
4;2.34
4;2.34
4;3.14
4;3.14
2;1.62
4;2.34
2;1.62
1;2.95
3;2.95
4;3.14
2;2.43
1;3.28
3;3.48
1;2.95
1;2.95
5;3.24
4;2.34
2;2.91
3;2.95
5;3.24
2;1.62
2;3.33
4;3.14
1;3.28
5;3.24
1;2.95
2;2.43
3;3.71
2;1.62
2;2.91
4;2.34
2;1.62
2;2.43
3;3.71
4;2.34
4;2.34
3;2.95
3;3.48
2;1.62
1;2.95
4;3.14
3;2.95
4;3.14
3;3.48
2;2.91
5;3.24
5;3.24
5;3.24
4;2.34
5;3.24
2;2.91
1;2.95
3;3.48
2;2.91
3;3.71
3;2.95
3;2.95
2;2.43
1;2.95
3;3.48
1;2.95
3;3.48
1;3.28
5;3.24
2;1.62
2;3.33
2;3.33
4;3.14
2;1.62
5;3.24
2;2.91
2;2.43
5;3.24
4;3.14
2;3.33
5;3.24
2;1.62
1;3.28
4;2.34
3;3.48
2;2.91
2;3.33
1;3.28
3;3.71
2;2.43
1;3.28
5;3.24
2;2.43
2;2.91
2;2.91
3;3.48
1;3.28
3;3.71
3;3.71
3;2.95
2;3.33
1;3.28
3;3.71
4;2.34
2;2.43
1;3.28
3;3.71
4;2.34
2;2.91
3;3.71
3;2.95
3;3.71
3;2.95
1;3.28
1;3.28
4;2.34
3;2.95
3;3.71
5;3.24
4;3.14
2;3.33
2;1.62
1;2.95
4;2.34
2;2.43
3;2.95
4;2.34
5;3.24
3;3.71
2;2.91
3;3.48
1;3.28
4;2.34
3;3.71
2;1.62
5;3.24
2;3.33
2;3.33
1;3.28
2;2.91
2;1.62
3;3.71
3;3.48
2;2.43
2;3.33
1;2.95
2;2.91
2;1.62
3;3.48
4;3.14
1;2.95
2;2.43
3;2.95
3;2.95
1;3.28
3;3.71
4;2.34
5;3.24
2;3.33
2;2.43
5;3.24
4;3.14
3;3.71
1;2.95
1;2.95
2;3.33
4;3.14
2;1.62
4;3.14
2;1.62
4;2.34
3;3.71
4;3.14
5;3.24
2;3.33
3;2.95
1;3.28
4;3.14
3;3.48
3;2.95
2;2.91
2;2.43
2;2.91
2;1.62
3;2.95
2;2.43
1;2.95
4;3.14
4;2.34
5;3.24
2;3.33
3;3.71
3;3.71
1;3.28
2;3.33
3;3.48
1;2.95
3;3.48
2;2.91
2;3.33
4;3.14
1;3.28
3;3.71
2;1.62
4;2.34
5;3.24
1;2.95
2;2.91
3;3.48
1;3.28
3;2.95
3;3.71
2;2.43
3;3.71
1;3.28
5;3.24
2;3.33
2;3.33
2;2.91
2;1.62
5;3.24
2;2.43
2;1.62
4;2.34
1;3.28
3;3.71
4;3.14
3;2.95
5;3.24
2;2.91
3;3.48
1;2.95
4;2.34
4;3.14
2;1.62
2;3.33
3;3.48
1;3.28
2;3.33
5;3.24
4;2.34
2;1.62
1;3.28
2;3.33
5;3.24
2;2.91
2;2.43
1;2.95
4;2.34
2;2.43
2;2.91
3;3.48
2;3.33
2;2.43
1;2.95
1;2.95
5;3.24
2;3.33
1;3.28
2;3.33
3;3.71
3;2.95
3;3.48
2;2.91
4;2.34
2;1.62
1;3.28
2;2.91
2;3.33
5;3.24
5;3.24
3;2.95
3;3.71
4;3.14
1;2.95
4;3.14
4;3.14
4;2.34
1;3.28
3;2.95
2;1.62
3;3.71
2;1.62
2;2.43
4;3.14
3;3.71
1;3.28
4;3.14
5;3.24
3;3.48
3;2.95
2;1.62
4;2.34
2;2.91
3;3.71
4;2.34
3;3.48
3;2.95
1;2.95
2;2.43
1;3.28
2;2.43
4;3.14
4;2.34
5;3.24
3;2.95
4;2.34
1;3.28
5;3.24
3;3.48
2;2.91
3;3.48
3;3.71
1;3.28
2;2.91
2;2.91
3;2.95
2;2.43
3;3.48
4;3.14
4;3.14
3;2.95
3;3.71
3;3.71
5;3.24
2;3.33
2;1.62
4;2.34
2;1.62
1;3.28
3;3.48
1;2.95
3;3.71
3;3.48
3;2.95
3;3.71
2;1.62
2;3.33
1;3.28
4;2.34
4;2.34
2;1.62
5;3.24
2;3.33
5;3.24
3;2.95
1;2.95
1;2.95
4;3.14
3;3.48
2;2.91
3;2.95
2;3.33
2;2.91
2;1.62
4;3.14
5;3.24
4;3.14
1;2.95
4;3.14
4;2.34
1;2.95
4;2.34
2;1.62
2;2.91
4;2.34
2;2.43
2;2.43
1;3.28
2;1.62
3;3.48
2;2.43
2;3.33
2;1.62
2;2.43
4;2.34
1;2.95
3;3.48
1;2.95
2;2.91
3;3.48
2;2.43
3;2.95
2;2.91
3;3.71
1;3.28
2;2.91
2;3.33
2;1.62
5;3.24
4;3.14
4;2.34
5;3.24
2;1.62
2;3.33
1;2.95
1;3.28
3;3.71
2;2.43
3;2.95
3;3.71
2;1.62
4;3.14
4;3.14
4;3.14
1;2.95
3;3.48
2;2.91
1;3.28
3;3.71
3;2.95
2;2.43
1;3.28
2;2.43
1;2.95
2;3.33
3;3.48
5;3.24
3;2.95
2;2.91
2;2.43
2;2.43
1;2.95
2;2.43
4;2.34
3;3.48
2;2.43
2;2.91
3;2.95
1;2.95
3;3.71
1;3.28
3;3.48
3;3.71
5;3.24
2;3.33
3;2.95
4;3.14
1;2.95
1;3.28
2;3.33
1;3.28
3;3.71
3;2.95
2;1.62
3;3.48
4;3.14
1;2.95
2;1.62
4;2.34
4;3.14
3;3.71
3;2.95
2;3.33
5;3.24
2;2.91
2;3.33
1;3.28
4;2.34
2;3.33
2;2.91
3;3.48
4;3.14
1;2.95
4;3.14
2;1.62
3;3.48
1;2.95
5;3.24
2;3.33
2;2.43
3;2.95
2;1.62
5;3.24
2;1.62
3;2.95
3;3.71
3;2.95
1;2.95
1;3.28
5;3.24
4;2.34
2;3.33
4;3.14
2;1.62
2;2.91
2;2.43
4;2.34
5;3.24
2;3.33
2;3.33
1;3.28
2;3.33
5;3.24
2;3.33
3;3.48
1;3.28
1;2.95
2;2.91
2;2.43
1;3.28
3;3.71
4;2.34
5;3.24
4;2.34
3;3.71
5;3.24
5;3.24
2;2.91
3;3.48
3;2.95
2;2.43
3;3.71
2;2.91
3;3.48
2;2.43
3;3.71
3;2.95
4;2.34
2;1.62
1;2.95
4;3.14
4;2.34
1;3.28
2;1.62
2;2.43
3;3.71
3;2.95
1;2.95
3;3.48
4;3.14
2;2.91
4;3.14
1;2.95
2;2.91
3;3.48
3;3.48
2;2.91
4;2.34
2;2.43
2;2.43
3;2.95
3;2.95
1;3.28
3;3.71
1;3.28
3;3.71
2;3.33
2;3.33
2;1.62
4;2.34
4;3.14
5;3.24
5;3.24
2;2.43
2;1.62
3;2.95
2;1.62
1;2.95
4;3.14
4;2.34
3;3.48
2;2.91
1;2.95
4;2.34
5;3.24
2;1.62
4;3.14
3;3.71
4;2.34
4;2.34
4;3.14
1;2.95
3;3.71
1;3.28
2;2.91
2;2.91
3;3.48
2;2.43
1;2.95
4;3.14
1;2.95
3;3.48
1;2.95
2;2.43
2;3.33
2;3.33
4;3.14
1;3.28
4;3.14
2;3.33
3;2.95
2;1.62
1;3.28
2;3.33
2;1.62
4;2.34
4;2.34
3;3.71
5;3.24
4;3.14
5;3.24
3;3.71
1;3.28
3;2.95
4;3.14
5;3.24
2;1.62
5;3.24
3;2.95
3;2.95
3;3.48
2;2.43
1;2.95
3;3.71
2;2.43
2;1.62
3;3.48
2;2.91
5;3.24
4;2.34
2;2.91
4;2.34
2;3.33
3;2.95
2;2.91
2;2.43
2;2.91
2;2.43
2;2.91
3;3.48
3;3.71
3;3.48
1;2.95
2;1.62
3;3.48
1;3.28
3;3.71
2;1.62
4;3.14
1;3.28
1;3.28
5;3.24
2;3.33
3;3.71
3;2.95
1;2.95
1;3.28
2;2.43
2;3.33
3;2.95
5;3.24
1;2.95
2;1.62
2;2.43
2;2.43
3;2.95
2;3.33
4;3.14
5;3.24
2;1.62
1;3.28
1;2.95
3;3.48
4;2.34
3;3.71
5;3.24
4;2.34
1;2.95
2;2.91
3;3.48
3;3.48
3;2.95
2;2.91
5;3.24
3;3.71
1;3.28
2;3.33
5;3.24
3;3.48
2;3.33
1;3.28
2;1.62
1;2.95
4;3.14
4;2.34
2;2.91
3;3.48
2;3.33
4;3.14
2;2.91
3;3.71
2;2.91
2;2.43
3;2.95
2;2.43
3;3.48
1;2.95
2;2.91
2;2.91
1;3.28
4;2.34
2;2.43
3;3.71
2;2.43
2;3.33
5;3.24
3;3.48
1;3.28
3;3.71
1;2.95
4;3.14
3;3.71
3;2.95
3;2.95
2;2.91
2;1.62
4;2.34
4;3.14
4;2.34
2;1.62
1;3.28
2;3.33
5;3.24
5;3.24
4;3.14
4;2.34
2;3.33
2;1.62
3;3.48
4;2.34
1;2.95
1;2.95
2;2.43
2;3.33
1;3.28
2;2.43
2;2.91
2;2.91
1;3.28
2;2.43
2;3.33
1;2.95
2;2.91
3;3.71
3;3.48
3;3.48
3;2.95
1;2.95
2;2.43
4;3.14
3;2.95
3;3.71
2;2.91
3;3.71
5;3.24
3;2.95
2;3.33
2;1.62
2;2.43
1;3.28
5;3.24
